OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,Latitude,Longitude
857,16190,United States W Coast -- 16000,Pismo Beach, ,US PB5,United States,North Pacific Ocean,35.13,-120.65
858,16380,United States W Coast -- 16000,Point San Pablo, ,US SAK,United States,North Pacific Ocean,37.97,-122.43
859,6720,United States E Coast -- 6585,Southwest Harbor, ,US W8S,United States,North Atlantic Ocean,44.28,-68.32
860,7940,United States E Coast -- 6585,Sewaren, ,US SWN,United States,North Atlantic Ocean,40.55,-74.25
861,16390,United States W Coast -- 16000,Pinole Point, ,US P2C,United States,North Pacific Ocean,38.02,-122.37
862,7580,United States E Coast -- 6585,Southport, ,US UTP,United States,North Atlantic Ocean,41.13,-73.28
863,7760,United States E Coast -- 6585,Weehawken, ,US WJQ,United States,North Atlantic Ocean,40.77,-74.02
864,7730,United States E Coast -- 6585,Rensselaer, ,US RER,United States,North Atlantic Ocean,42.65,-73.75
865,7670,United States E Coast -- 6585,Poughkeepsie, ,US POU,United States,North Atlantic Ocean,41.70,-73.95
866,7650,United States E Coast -- 6585,Yonkers, ,US YON,United States,North Atlantic Ocean,40.93,-73.90
867,62225,Japan -- 61100,Kiire, ,JP KII,Japan,East China Sea; North Pacific Ocean,31.38,130.55
868,46130,Nigeria -- 46120,Lagos, ,NG LOS,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,6.40,3.40
869,48263,United Arab Emirates -- 48260,Khawr Fakkan,Khor Fakkan,AE KLF,United Arab Emirates,Gulf of Oman; Indian Ocean,25.36,56.37
870,15880,Mexico West Coast -- 15700,Isla San Marcos,San Marcos,MX SMI,Mexico,Gulf of California; North Pacific Ocean,27.18,-112.10
871,36460,France West Coast -- 36450,Rade De Brest, ,FR BES,France,North Atlantic Ocean,48.38,-4.50
872,38010,Portugal -- 37930,Lagos, ,PT LOS,Portugal,North Atlantic Ocean,37.10,-8.62
873,15790,Mexico West Coast -- 15700,Puerto Vallarta,Penas,MX PVR,Mexico,North Pacific Ocean,20.62,-105.27
874,15870,Mexico West Coast -- 15700,Santa Rosalia, ,MX SRL,Mexico,Gulf of California; North Pacific Ocean,27.33,-112.28
875,6920,United States E Coast -- 6585,Belfast, ,US BEL,United States,North Atlantic Ocean,44.42,-69.00
876,15770,Mexico West Coast -- 15700,Manzanillo, ,MX ZLO,Mexico,North Pacific Ocean,19.05,-104.32
877,50922,Jawa -- 50920,Merak Mas Terminal, ,ID MRK,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",-5.92,106.00
878,15920,Mexico West Coast -- 15700,La Paz, ,MX LAP,Mexico,Gulf of California; North Pacific Ocean,24.17,-110.32
879,15975,Mexico West Coast -- 15700,Puerto Morro Redondo, ,MX PMS,Mexico,North Pacific Ocean,28.05,-115.18
880,48250,Oman -- 48225,Mina Qabus,Port Sultan Qaboos,OM STQ,Oman,Gulf of Oman; Indian Ocean,23.63,58.58
881,7870,United States E Coast -- 6585,Gulfport SI, , ,United States,North Atlantic Ocean,40.63,-74.20
882,10006,West Indies -- 9970,Cockburn Town, ,BS CBT,The Bahamas,North Atlantic Ocean,24.05,-74.53
883,62495,Nansei Shoto -- 62470,Kin Wan,Chin,JP KNN,Japan,East China Sea; North Pacific Ocean,26.42,127.90
884,48255,Oman -- 48225,Mina Al Fahl, ,OM MFH,Oman,Gulf of Oman; Indian Ocean,23.63,58.52
885,62505,Nansei Shoto -- 62470,Nakagusuku, ,JP NAK,Japan,East China Sea; North Pacific Ocean,26.27,127.92
886,7850,United States E Coast -- 6585,Port Richmond SI, ,US RI4,United States,North Atlantic Ocean,40.65,-74.13
887,15810,Mexico West Coast -- 15700,Mazatlan, ,MX MZT,Mexico,North Pacific Ocean,23.20,-106.42
888,15760,Mexico West Coast -- 15700,Acapulco, ,MX ACA,Mexico,North Pacific Ocean,16.85,-99.93
889,36680,France West Coast -- 36450,Lorient, ,FR LRT,France,Bay of Biscay; North Atlantic Ocean,47.75,-3.35
890,57760,China -- 57740,Haikou,Hoihow,CN HIG,China,South China Sea; North Pacific Ocean,20.05,110.28
891,42620,Greece East Coast -- 42010,Lagos, ,GR PTL,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,41.00,25.13
892,7860,United States E Coast -- 6585,Mariners Harbor SI, , ,United States,North Atlantic Ocean,40.63,-74.17
893,61545,Japan -- 61100,Wakayama-Shimotsu Ko,Minami-ku,JP WAK,Japan,Sea of Japan; North Pacific Ocean,34.20,135.13
894,9940,Bermuda Islands -- 9930,St George,Saint George's Harbor,BM SGE,Bermuda,North Atlantic Ocean,32.38,-64.68
895,48335,Saudi Arabia Continued -- 48330,Dammam,King Abdul Aziz Port; Mina Al Malik Abd Al Aziz,SA DMM,Saudi Arabia,Persian Gulf; Indian Ocean,26.50,50.20
896,16650,United States W Coast -- 16000,Fort Bragg, ,US FOB,United States,North Pacific Ocean,39.45,-123.82
897,11340,St Croix -- 11325,Christiansted, ,VI CTD,U.S. Virgin Islands,Caribbean Sea; North Atlantic Ocean,17.75,-64.70
898,16060,United States W Coast -- 16000,Newport Beach, ,US JNP,United States,North Pacific Ocean,33.62,-117.90
899,44860,Turkey Asia -- 44360,Mersin, ,TR MER,Turkey,Mediterranean Sea; North Atlantic Ocean,36.80,34.63
900,16110,United States W Coast -- 16000,El Segundo, ,US ELS,United States,North Pacific Ocean,33.92,-118.43
901,11320,St John -- 11315,Cruz Bay, ,VI CZB,U.S. Virgin Islands,North Atlantic Ocean,18.33,-64.80
902,60233,China Continued -- 59850,Dandong, ,CN DDZ,China,Korea Bay; Yellow Sea; North Pacific Ocean,39.82,124.15
903,48343,Saudi Arabia Continued -- 48330,Ju Aymah Oil Terminal, ,SA JUT,Saudi Arabia,Persian Gulf; Indian Ocean,26.93,50.03
904,47830,Somalia -- 47810,Boosaaso,Bandar Cassim,SO BSA,Somalia,Gulf of Aden; Indian Ocean,11.28,49.18
905,48310,Bahrain -- 48305,Al Manamah, ,BH AMH,Bahrain,Persian Gulf; Indian Ocean,26.23,50.58
906,58350,Philippine Islands -- 57960,Nasugbu, ,PH NUG,Philippines,South China Sea; North Pacific Ocean,14.08,120.62
907,60280,North Korea -- 60270,Nampo,Chinnampo,KP NAM,North Korea,Korea Bay; Yellow Sea; North Pacific Ocean,38.72,125.40
908,60323,South Korea -- 60315,Daesan Hang,Daesan,KR TSN,South Korea,Yellow Sea; North Pacific Ocean,37.02,126.40
909,60430,South Korea -- 60315,Mukho,Mugho,KR MUK,South Korea,Sea of Japan; North Pacific Ocean,37.57,129.12
910,48342,Saudi Arabia Continued -- 48330,Ju Aymah Lpg Terminal, , ,Saudi Arabia,Persian Gulf; Indian Ocean,26.87,50.05
911,48374,Kuwait -- 48350,Doha Harbor,Mina Ad Dawhah,KW DOH,Kuwait,Persian Gulf; Indian Ocean,29.38,47.80
912,11330,St Croix -- 11325,Frederiksted, ,VI FRD,U.S. Virgin Islands,Caribbean Sea; North Atlantic Ocean,17.72,-64.88
913,11901,Colombia North Coast -- 11860,Covenas Offshore Term., ,CO COV,Colombia,Caribbean Sea; North Atlantic Ocean,9.50,-75.73
914,48175,Yemen Aden -- 48143,Al Mukha, ,YE MOK,Yemen,Red Sea; Indian Ocean,13.32,43.25
915,60310,North Korea -- 60270,Haeju Hang,Haeju,KP HAE,North Korea,Yellow Sea; North Pacific Ocean,38.00,125.70
916,16515,United States W Coast -- 16000,Antioch, ,US ANZ,United States,North Pacific Ocean,38.02,-121.80
917,36260,France NW Coast Cont -- 36060,Paimpol, ,FR PAI,France,English Channel; North Atlantic Ocean,48.78,-3.05
918,42400,Greece East Coast -- 42010,Porthmos Evripou,Euripo Strait; Evripou Porthmos, ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.47,23.58
919,41590,Serbia and Montenegro -- 41560,Risan, ,ME RSN,Montenegro,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,42.52,18.70
920,39360,Italy West Coast -- 39330,San Remo, ,IT SRE,Italy,Mediterranean Sea; North Atlantic Ocean,43.82,7.79
921,41220,Croatia -- 40877,Zadar,Zara,HR ZAD,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,44.12,15.22
922,45865,Sierra Leone -- 45860,Pepel, ,SL PEP,Sierra Leone,North Atlantic Ocean,8.58,-13.05
923,38720,France South Coast -- 38710,Port-Vendres,Vendres,FR POV,France,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,42.52,3.12
924,38580,Spain SE Coast -- 38340,Palamos, ,ES PAL,Spain,Mediterranean Sea; North Atlantic Ocean,41.83,3.12
925,37400,Spain N Coast -- 37270,Puerto De Bilbao, ,ES BIO,Spain,Bay of Biscay; North Atlantic Ocean,43.35,-3.05
926,42470,Greece East Coast -- 42010,Volos, ,GR VOL,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,39.37,22.95
927,36300,France NW Coast Cont -- 36060,Treguier, ,FR TRE,France,English Channel; North Atlantic Ocean,48.78,-3.23
928,6840,United States E Coast -- 6585,Vinalhaven,Carvers Harbor,US 9VV,United States,North Atlantic Ocean,44.05,-68.83
929,45762, ,Port Nador, ,MA NDR,Morocco,Mediterranean Sea; North Atlantic Ocean,35.28,-2.93
930,46820,South Africa -- 46725,Port Elizabeth, ,ZA PLZ,South Africa,Indian Ocean,-33.95,25.64
931,40940,Croatia -- 40877,Rovinj,Rovigno Distria,HR ROV,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,45.08,13.63
932,41320,Croatia -- 40877,Split, ,HR SPU,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,43.50,16.43
933,38920,France South Coast -- 38710,Saint-Tropez, ,FR STP,France,Mediterranean Sea; North Atlantic Ocean,43.27,6.63
934,42530,Greece East Coast -- 42010,Thessaloniki, ,GR SKG,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,40.63,22.93
935,43210,Dhodhekanisos -- 43180,Rodhos,Rhodes; Rodi,GR RHO,Greece,Mediterranean Sea; North Atlantic Ocean,36.45,28.23
936,45380,Tunisia -- 45360,Skhira,Cekhira; La Skira; Qabes,TN LSK,Tunisia,Mediterranean Sea; North Atlantic Ocean,34.28,10.10
937,38630,Islas Baleares -- 38600,Palma De Mallorca, ,ES PMI,Spain,Mediterranean Sea; North Atlantic Ocean,39.57,2.63
938,41730,Greece West Coast -- 41710,Preveza, ,GR PVK,Greece,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,38.95,20.75
939,40615,Italy East Coast -- 40390,Vasto, ,IT VSO,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,42.12,14.72
940,45753, ,Tangier-Mediterranean, ,MA PTM,Morocco,Strait of Gibraltar; North Atlantic Ocean,35.90,-5.52
941,45797, ,Safi,Asafi,MA SFI,Morocco,North Atlantic Ocean,32.30,-9.25
942,46045,Ghana -- 46010,Sekondi, ,GH SEK,Ghana,Gulf of Guinea; North Atlantic Ocean,4.95,-1.70
943,39070,Corse -- 39040,Porto Vecchio, ,FR PVO,France,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,41.58,9.28
944,16200,United States W Coast -- 16000,Port San Luis,San Luis Obispo,US PSL,United States,North Pacific Ocean,35.17,-120.75
945,37690,Spain N Coast -- 37270,San Ciprian, ,ES SCI,Spain,Bay of Biscay; North Atlantic Ocean,43.70,-7.43
946,38540,Spain SE Coast -- 38340,Tarragona, ,ES TAR,Spain,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,41.10,1.23
947,38670,Islas Baleares -- 38600,Puerto De Alcudia,El Puerto,ES ALD,Spain,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,39.83,3.13
948,36130,France NW Coast Cont -- 36060,Saint-Malo, ,FR SML,France,English Channel; North Atlantic Ocean,48.65,-2.02
949,37900,Spain N Coast -- 37270,Vigo,Berbes Basin,ES VGO,Spain,North Atlantic Ocean,42.23,-8.72
950,43390,Turkey Europe -- 43325,Tekirdag,Rodosto,TR TEK,Turkey,Sea of Marmara; Mediterranean Sea; North Atlantic Ocean,40.98,27.52
951,41620,Serbia and Montenegro -- 41560,Tivat, ,ME TIV,Montenegro,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,42.43,18.70
952,42850,Aegean Islands -- 42640,Samos,Kolpos Vatheos,GR SMI,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,37.75,26.97
953,38543,Spain SE Coast -- 38340,Villanueva Y Geltru, ,ES VLG,Spain,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,41.23,1.73
954,40960,Croatia -- 40877,Pula,Rada Di Pola,HR PUY,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,44.88,13.80
955,38180,Islas Canarias -- 38140,Puerto Del Rosario, ,ES FUE,Spain,North Atlantic Ocean,28.50,-13.85
956,41660,Albania -- 41650,Shengjin,San Giovani Di Medua,AL SHG,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,41.82,19.60
957,38570,Spain SE Coast -- 38340,San Feliu De Guixols, ,ES SFU,Spain,Mediterranean Sea; North Atlantic Ocean,41.78,3.03
958,39440,Italy West Coast -- 39330,Savona, ,IT SVN,Italy,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,44.32,8.50
959,38750,France South Coast -- 38710,Sete, ,FR SET,France,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,43.40,3.70
960,8810,US Gulf Coast -- 8650,Slidell, ,US UYN,United States,Gulf of Mexico; North Atlantic Ocean,30.27,-89.78
961,47030,Tanzania -- 46965,Tanga, ,TZ TGT,Tanzania,Indian Ocean,-5.08,39.12
962,36040,Channel Islands -- 35970,Saint Helier Harbour, ,JE STH,Jersey,English Channel; North Atlantic Ocean,49.18,-2.12
963,43150,Kriti -- 43080,Sitia,Vamvakia,GR JSH,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,35.22,26.13
964,45818,Senegal -- 45817,St Louis, ,SN XLS,Senegal,North Atlantic Ocean,16.02,-16.52
965,38480,Spain SE Coast -- 38340,Valencia, ,ES VLC,Spain,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,39.45,-0.32
966,37830,Spain N Coast -- 37270,Villagarcia De Arosa, ,ES VIL,Spain,North Atlantic Ocean,42.60,-8.77
967,38590,Spain SE Coast -- 38340,Rosas, ,ES ROS,Spain,Mediterranean Sea; North Atlantic Ocean,42.27,3.18
968,38490,Spain SE Coast -- 38340,Sagunto,El Puerto; El Puerto De Sagunto; Murveidro; Sagunto,ES SAG,Spain,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,39.65,-0.22
969,11934,Colombia North Coast -- 11860,Puerto Prodeco,Puerto Zuniga,CO PPR,Colombia,Caribbean Sea; North Atlantic Ocean,11.15,-74.22
970,40505,Italy East Coast -- 40390,Torre Del Greco, ,IT TDG,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,40.78,14.37
971,16030,United States W Coast -- 16000,Wilson Cove, , ,United States,North Pacific Ocean,33.00,-118.55
972,44803,Turkey Asia -- 44360,Yakacik, ,TR YAK,Turkey,Mediterranean Sea; North Atlantic Ocean,36.72,36.18
973,38395,Spain SE Coast -- 38340,Puerto De Carboneras, ,ES CRS,Spain,Mediterranean Sea; North Atlantic Ocean,37.00,-1.88
974,46940,Mozambique -- 46860,Pemba,Port Amelia,MZ POL,Mozambique,Mozambique Channel; Indian Ocean,-12.97,40.50
975,37670,Spain N Coast -- 37270,Ribadeo, ,ES RIB,Spain,Bay of Biscay; North Atlantic Ocean,43.53,-7.03
976,41090,Croatia -- 40877,Senj,Luka Senj,HR SEN,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,44.98,14.90
977,45435,Tunisia -- 45360,Tazerka Oil Terminal, ,TN TAT,Tunisia,Mediterranean Sea; North Atlantic Ocean,36.60,11.68
978,60435,South Korea -- 60315,Sokch'o Hang, ,KR SHO,South Korea,Sea of Japan; North Pacific Ocean,38.20,128.60
979,62078,Japan -- 61100,Tonda, ,JP TND,Japan,Sea of Japan; North Pacific Ocean,34.03,131.75
980,16510,United States W Coast -- 16000,Pittsburg, ,US PBG,United States,North Pacific Ocean,38.03,-121.88
981,61380,Japan -- 61100,Tokyo Ko, ,JP TYO,Japan,North Pacific Ocean,35.67,139.75
982,59680,Philippine Islands -- 57960,Port Ozamis,Misamis,PH OZC,Philippines,Bohol Sea; Philippine inland seas; North Pacific Ocean,8.13,123.85
983,62255,Japan -- 61100,Yatsushiro Ko, ,JP YAT,Japan,East China Sea; North Pacific Ocean,32.50,130.53
984,61390,Japan -- 61100,Yokohama Ko, ,JP YOK,Japan,North Pacific Ocean,35.45,139.58
985,8050,United States E Coast -- 6585,Wilmington, ,US ILG,United States,North Atlantic Ocean,39.73,-75.55
986,62115,Japan -- 61100,Tobata, ,JP TBT,Japan,Korea Strait; North Pacific Ocean,33.92,130.82
987,49850,Malaysia -- 49820,Pulau Pinang, ,MY PEN,Malaysia,Strait of Malacca; Indian Ocean,5.42,100.35
988,49930,Malaysia -- 49820,Port Klang,Port Kelang; Port Swettenham,MY PKG,Malaysia,Strait of Malacca; Indian Ocean,3.00,101.40
989,48240,Oman -- 48225,Qalhat Lng Terminal, ,OM QAL,Oman,Gulf of Oman; Indian Ocean,22.68,59.40
990,61420,Japan -- 61100,Shimoda Ko, ,JP SMD,Japan,North Pacific Ocean,34.67,138.95
991,51870,Indonesia - Borneo -- 51760,Stagen,Setagin,ID STN,Indonesia,Makassar Strait; South Pacific Ocean,-3.30,116.15
992,59340,Philippine Islands -- 57960,Surigao City,Bilan Bilan; Mindanao Isl.,PH SUG,Philippines,Bohol Sea; Philippine inland seas; North Pacific Ocean,9.78,125.50
993,62165,Japan -- 61100,Saganoseki Ko, ,JP SAG,Japan,Korea Strait; North Pacific Ocean,33.25,131.87
994,57950,Peng Hu Lifh Tao -- 57940,Peng-Hu Kang,Ma-kung,TW MZG,Taiwan,Taiwan Strait; North Pacific Ocean,23.58,119.53
995,61690,Japan -- 61100,Ube Ko, ,JP UBJ,Japan,Korea Strait; North Pacific Ocean,33.93,131.23
996,60190,China Continued -- 59850,Tianjin Xin Gang,Tien Ching; Tientsin,CN TXG,China,Bo Hai; Yellow Sea; North Pacific Ocean,38.97,117.83
997,48155,Yemen Aden -- 48143,Ras Isa Marine Terminal, ,YE RAI,Yemen,Red Sea; Indian Ocean,15.13,42.60
998,7405,United States E Coast -- 6585,Tiverton, ,US TIV,United States,North Atlantic Ocean,41.63,-71.22
999,62077,Japan -- 61100,Takuma, ,JP TKM,Japan,Sea of Japan; North Pacific Ocean,34.22,133.68
1000,7980,United States E Coast -- 6585,South Amboy, ,US ZZM,United States,North Atlantic Ocean,40.48,-74.27
1001,11470,Guadeloupe -- 11445,Port Louis, ,GP PTL,Guadeloupe,Caribbean Sea; North Atlantic Ocean,16.42,-61.53
1002,8115,United States E Coast -- 6585,Paulsboro, ,US PAU,United States,North Atlantic Ocean,39.85,-75.25
1003,61415,Japan -- 61100,Tagonoura Ko, ,JP TGO,Japan,North Pacific Ocean,35.13,138.70
1004,50600,Sumatera -- 50515,Uleelheue,Lhonga; Olee Lheue; Olehleh Road,ID OLO,Indonesia,Andaman Sea; Indian Ocean,5.57,95.28
1005,10960,Dominican Republic -- 10950,Pepillo Salcedo,Puerto Libertador; Puerto Manzanillo,DO SAL,Dominican Republic,North Atlantic Ocean,19.70,-71.75
1006,59150,Philippine Islands -- 57960,Port Capiz,Culasi; Roxas City,PH CSI,Philippines,Philippine inland seas; North Pacific Ocean,11.60,122.72
1007,61802,Japan -- 61100,Uchiura, ,JP UCR,Japan,Sea of Japan; North Pacific Ocean,35.52,135.50
1008,60200,China Continued -- 59850,Qinhuangdao,Chin Huang Tao; Chin Wangtao; Qinhuangdao,CN SHP,China,Bo Hai; Yellow Sea; North Pacific Ocean,39.93,119.62
1009,61566,Japan -- 61100,Shikama, ,JP SKM,Japan,Sea of Japan; North Pacific Ocean,34.77,134.65
1010,7560,United States E Coast -- 6585,Port Jefferson, ,US PTJ,United States,North Atlantic Ocean,40.95,-73.08
1011,60220,China Continued -- 59850,Yingkou,Newchwang,CN YIK,China,Bo Hai; Yellow Sea; North Pacific Ocean,40.68,122.23
1012,48267,United Arab Emirates -- 48260,Zirkuh Oil Field,Az Zarqa Petroleum Port,AE ZUR,United Arab Emirates,Persian Gulf; Indian Ocean,24.87,53.05
1013,49995,Singapore -- 49990,Serangoon Harbor,Selarang, ,Singapore,Strait of Malacca; Indian Ocean,1.40,103.95
1014,49910,Malaysia -- 49820,Teluk Anson, ,MY TAN,Malaysia,Strait of Malacca; Indian Ocean,4.02,101.02
1015,62120,Japan -- 61100,Wakamatsu Ko, ,JP WAM,Japan,Korea Strait; North Pacific Ocean,33.90,130.82
1016,48320,Bahrain -- 48305,Sitrah,Jazirat Sitrah,BH SIT,Bahrain,Persian Gulf; Indian Ocean,26.17,50.67
1017,62380,Japan -- 61100,Sasebo, ,JP SSB,Japan,East China Sea; North Pacific Ocean,33.17,129.72
1018,57995,Philippine Islands -- 57960,Port San Vicente, , ,Philippines,Luzon Strait; North Pacific Ocean,18.52,122.13
1019,49770,Thailand -- 49760,Phuket,Puket; Tha Rua Phuket,TH PKT,Thailand,Andaman Sea; Indian Ocean,7.83,98.40
1020,62110,Japan -- 61100,Sakaide Ko,Sakaide,JP SKD,Japan,Sea of Japan; North Pacific Ocean,34.33,133.85
1021,61500,Japan -- 61100,Toba, ,JP TOB,Japan,Sea of Japan; North Pacific Ocean,34.48,136.85
1022,54575,Australia -- 53290,Point Murat, , ,Australia,Indian Ocean,-21.82,114.18
1023,60160,China Continued -- 59850,Yantai,Chefoo; Chin Fou,CN YTG,China,Yellow Sea; North Pacific Ocean,37.55,121.45
1024,61547,Japan -- 61100,Sakai-Senboku, ,JP SBK,Japan,Sea of Japan; North Pacific Ocean,34.55,135.43
1025,50610,Sumatera -- 50515,Sabang, ,ID SBG,Indonesia,Andaman Sea; Indian Ocean,5.88,95.32
1026,49962,Malaysia -- 49820,Pelabuhan Sungai Udang, ,MY SUP,Malaysia,Strait of Malacca; Indian Ocean,2.25,102.13
1027,54120,Australia -- 53290,Warrnambool, ,AU WMB,Australia,Indian Ocean,-38.40,142.48
1028,61940,Japan -- 61100,Takamatsu, ,JP TAK,Japan,Sea of Japan; North Pacific Ocean,34.35,134.05
1029,7600,United States E Coast -- 6585,Stamford, ,US XLX,United States,North Atlantic Ocean,41.03,-73.55
1030,61680,Japan -- 61100,Tokuyama, ,JP TKY,Japan,Sea of Japan; North Pacific Ocean,34.03,131.82
1031,7740,United States E Coast -- 6585,Troy, ,US TRY,United States,North Atlantic Ocean,42.73,-73.70
1032,61490,Japan -- 61100,Yokkaichi,Yokkaiti,JP YKK,Japan,Sea of Japan; North Pacific Ocean,34.97,136.63
1033,62224,Japan -- 61100,Shibushi Wan, ,JP SBS,Japan,East China Sea; North Pacific Ocean,31.47,131.10
1034,61410,Japan -- 61100,Uraga Ko, ,JP URG,Japan,North Pacific Ocean,35.23,139.72
1035,49830,Malaysia -- 49820,Pelabuhan Bass,Bass Harbour, ,Malaysia,Strait of Malacca; Indian Ocean,6.32,99.83
1036,59950,China Continued -- 59850,Zhen Hai,Chen-hai; Chinhai,CN ZHI,China,East China Sea; North Pacific Ocean,29.95,121.70
1037,58315,Philippine Islands -- 57960,Santa Cruz (Marinduque Isl), , ,Philippines,Philippine inland seas; North Pacific Ocean,13.50,122.07
1038,48035,Egypt Red Sea -- 47950,Sokhna Port Gas Tanker Terminal, ,EG SOK,Egypt,Gulf of Suez; Red Sea; Indian Ocean,29.68,32.37
1039,61370,Japan -- 61100,Tateyama Ko, ,JP TTY,Japan,North Pacific Ocean,35.00,139.80
1040,61580,Japan -- 61100,Uno Ko,Tama,JP UNO,Japan,Sea of Japan; North Pacific Ocean,34.48,133.95
1041,62113,Japan -- 61100,Yanai, ,JP YAN,Japan,Sea of Japan; North Pacific Ocean,33.95,132.13
1042,55050,New Zealand N Island -- 54990,Whangarei, ,NZ WRE,New Zealand,South Pacific Ocean,-35.80,174.43
1043,61550,Japan -- 61100,Osaka,Sakai,JP OSA,Japan,Sea of Japan; North Pacific Ocean,34.65,135.43
1044,61460,Japan -- 61100,Shimizu Ko,Simizu,JP SMZ,Japan,North Pacific Ocean,35.02,138.50
1045,61700,Japan -- 61100,Shimonoseki, ,JP SHS,Japan,Korea Strait; North Pacific Ocean,33.93,130.93
1046,51815,Indonesia - Borneo -- 51760,Tanjung Santan, ,ID SAT,Indonesia,Makassar Strait; South Pacific Ocean,-0.10,117.53
1047,39935, ,Miseno, , ,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,40.79,14.09
1048,40352, ,Scalo Vecchio,Linosa, ,Italy,Mediterranean Sea; North Atlantic Ocean,35.86,12.86
1049,40745,Italy East Coast -- 40390,Porto Di Chioggia, ,IT CHI,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,45.23,12.30
1050,40650, ,Civitanova Marche, ,IT IOA,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,43.32,13.73
1051,40155, ,Levanzo, ,IT LEV,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,37.99,12.34
1052,40720,Italy East Coast -- 40390,Porto Di Corsini,Ravenna,IT PCS,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,44.50,12.29
1053,40785, ,Grado, ,IT GRD,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,45.70,13.30
1054,39910, ,Ischia, ,IT ISH,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,40.75,13.94
1055,40090, ,Villa San Giovanni, ,IT VSG,Italy,Mediterranean Sea; North Atlantic Ocean,38.22,15.63
1056,40560, ,Bisceglie, ,IT BCE,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,41.25,16.51
1057,40570, ,Trani, ,IT TNI,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,41.28,16.42
1058,40700, ,Rimini, ,IT RMI,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,44.08,12.57
1059,39840, ,Ponza, ,IT PNZ,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,40.90,12.96
1060,40060,Italy West Coast Cont -- 39730,Vibo Valentia Marina, ,IT VVA,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,38.72,16.13
1061,40145, ,San Vito Lo Capo, ,IT SVC,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,38.18,12.74
1062,39795, ,Porto Ercole, ,IT PTH,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,42.40,11.21
1063,40282, ,Giardini Naxos, ,IT GIA,Italy,Mediterranean Sea; North Atlantic Ocean,37.83,15.27
1064,40120,Sicilia -- 40090,Termini Imerese, ,IT TRI,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,37.99,13.72
1065,40680, ,Fano, ,IT FAO,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,43.86,13.02
1066,39855, ,Terracina, ,IT TRC,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,41.28,13.26
1067,40640, ,San Benedetto Del Tronto, ,IT SDB,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,42.96,13.89
1068,39500, ,Chiavari - Lavagna, ,IT CHX,Italy,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,44.31,9.33
1069,39570, ,Viareggio, ,IT VIA,Italy,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,43.86,10.23
